Rank,Course_Name,Yards,Par,Points,Location,Architect,Year_Built,Restoration_Architect,Year_Restored,Latitude,Longitude
41,BALTUSROL G.C. (Lower),7400,72,63.0290,Springfield N.J.,A.W. Tillinghast,1922,Rees Jones,2014,40.705217,-74.327997
42,ERIN HILLS G. CSE.,7800,72,62.7609,Erin Wis.,Michael Hurdzan & Dana Fry & Ron Whitten,2006,Dana Fry,2013,43.246134999999995,-88.398494
43,VICTORIA NATIONAL G.C.,7242,72,62.7167,Newburgh Ind.,Tom Fazio,1998,(Original Design),(Original Design),38.00098,-87.346458
44,CAMARGO CLUB,6659,70,62.7111,Indian Hill Ohio,Seth Raynor & Charles Banks,1927,Tom Doak,2000,39.181217,-84.333969
45,SPYGLASS HILL G. CSE.,6960,72,62.6761,Pebble Beach,Robert Trent Jones,1966,Tom Fazio,1996,36.582518,-121.95831899999999
46,BALLYNEAL G.C.,7147,71,62.6718,Holyoke Colo.,Tom Doak,2006,(Original Design),(Original Design),40.419593,-102.26279699999999
47,BUTLER NATIONAL G.C.,7523,71,62.5935,Oak Brook Ill.,George Fazio & Tom Fazio,1974,Tom Fazio,2012,41.840779,-87.933245
48,CASTLE PINES G.C.,7701,72,62.5820,Castle Rock Colo.,Jack Nicklaus,1981,Jack Nicklaus & Jim Lipe,2015,39.442721999999996,-104.898651
49,TPC SAWGRASS (Players Stadium),7245,72,62.4413,Ponte Verde Beach Fla.,Pete Dye & Alice Dye,1980,Steve Wenzloff,2016,30.199933,-81.393834
50,OLD MACDONALD,6944,71,62.4135,Bandon Ore.,Tom Doak & Jim Urbina,2010,(Original Design),(Original Design),43.185824,-124.39090800000001
51,GARDEN CITY G.C.,6922,73,62.4125,Garden City N.Y.,Devereux Emmet,1899,Walter Travis & Tom Doak,1913 & 2015,40.7257,-73.6432
52,WINGED FOOT G.C. (East),6808,72,62.3774,Mamaroneck N.Y.,A.W. Tillinghast,1923,Gil Hanse,2012,40.9595,-73.7545
53,MEDINAH C.C. (No. 3),7657,72,62.3690,Medinah Ill.,Tom Bendelow,1928,Rees Jones,2009,41.9665,-88.04804399999999
54,WHISPERING PINES G.C.,7473,72,62.2766,Trinity Texas,Chet Williams,2000,(Original Design),(Original Design),30.945786,-95.25021
55,SHOREACRES,6729,70,62.2752,Lake Bluff Ill.,Seth Raynor,1921,(Original Design),(Original Design),42.298417,-87.840612
56,MONTEREY PENINSULA C.C. (Shore),6873,72,62.2081,Pebble Beach,Mike Strantz,2004,(Original Design),(Original Design),36.603455,-121.948617
57,SCIOTO C.C.,7140,70,62.1702,Columbus Ohio,Donald Ross,1916,Michael Hurdzan & Jack Nicklaus,2008,40.007474,-83.07520699999999
58,INTERLACHEN C.C.,6981,72,62.1545,Edina Minn.,Willie Watson,1911,Brian Silva,2006,44.915414,-93.380033
59,OLD SANDWICH G.C.,6908,71,62.1544,Plymouth Mass.,Bill Coore & Ben Crenshaw,2005,(Original Design),(Original Design),41.904963,-70.606797
60,OAK TREE NATIONAL,7410,71,62.1249,Edmond Okla.,Pete Dye & Alice Dye,1976,Tripp Davis,2012,35.719808,-97.505376
61,BALTUSROL G.C. (Upper),7348,72,62.0814,Springfield N.J.,A.W. Tillinghast,1922,Rees Jones,2014,40.705222,-74.327968
62,CANYATA G.C.,7266,72,62.0771,Marshall Ill.,Bob Lohmann & Mike Benkusky,2004,(Original Design),(Original Design),39.469871000000005,-87.683776
63,SOMERSET HILLS C.C.,6784,71,62.0366,Bernardsville N.J.,A.W. Tillinghast,1918,Tom Doak,2018,40.723527000000004,-74.588352
64,PETE DYE G.C.,7308,72,62.0220,Bridgeport W.Va.,Pete Dye,1994,(Original Design),(Original Design),39.710179,-80.302832
65,DALLAS NATIONAL G.C.,7372,72,61.9804,Dallas,Tom Fazio,2002,(Original Design),(Original Design),32.733711,-96.903139
66,KINLOCH G.C.,7203,72,61.9740,Manakin-Sabot Va,Lester George & Vinny Giles,2001,(Original Design),(Original Design),37.636181,-77.687369
67,MAIDSTONE CLUB,6665,72,61.9365,East Hampton N.Y.,Willie Park Jr. & Jack Park,1924,Bill Coore & Ben Crenshaw,2013,40.951797,-72.174592
68,ARCADIA BLUFFS G.C.,7300,72,61.9264,Arcadia Mich.,Rick Smith & Warren Henderson,2000,(Original Design),(Original Design),44.456862,-86.242552
69,BANDON TRAILS,6788,71,61.8574,Bandon Ore.,Bill Coore & Ben Crenshaw,2005,(Original Design),(Original Design),43.185068,-124.39108799999998
70,THE ESTANCIA CLUB,7314,72,61.8021,Scottsdale,Tom Fazio,1995,(Original Design),(Original Design),33.738170000000004,-111.865178
71,QUAKER RIDGE G.C.,7008,70,61.7439,Scarsdale N.Y.,A.W. Tillinghast,1918,Gil Hanse,2011,40.965934999999995,-73.761651
72,CHERRY HILLS C.C.,7348,72,61.7080,Cherry Hills Village Colo.,William Flynn,1923,Tom Doak,2009,39.643128000000004,-104.962483
73,ESSEX COUNTY CLUB,6555,70,61.6472,Manchester Mass.,Donald Ross,1917,Tom Doak,2008,42.584047999999996,-70.763529
74,MILWAUKEE C.C.,7097,72,61.6431,River Hills Wis.,H.S. Colt & C.H. Alison,1929,Tom Doak,2015,43.166821,-87.941941
75,OLYMPIA FIELDS C.C. (North),7190,70,61.6376,Olympia Fields Ill.,Willie Park Jr.,1922,Mark Mungeam,2014,41.52197,-87.685463
76,MYOPIA HUNT CLUB,6539,72,61.5754,South Hamilton Mass.,H.C. Leeds,1898,Gil Hanse,2013,42.609401,-70.858082
77,THE QUARRY AT LA QUINTA,7083,72,61.5487,La Quinta Calif.,Tom Fazio,1994,(Original Design),(Original Design),33.624565000000004,-116.274267
78,KITTANSETT CLUB,6811,71,61.5483,Marion Mass.,William Flynn & Frederic Hood,1922,Gil Hanse,2012,41.677727000000004,-70.717343
79,MONTEREY PENINSULA C.C. (Dunes),7090,72,61.5296,Pebble Beach Cal.,Seth Raynor,1924,Tom Fazio &Tim Jackson & David Kahn,2015,36.601777,-121.94833500000001
80,CONGRESSIONAL C.C. (Blue),7570,72,61.5115,Bethesda Md.,Robert Trent Jones,1962,Rees Jones,2010,38.996438,-77.176478
81,HUDSON NATIONAL G.C.,7151,70,61.4845,Croton-on-Hudson N.Y.,Tom Fazio,1996,Tom Fazio,2015,41.220223,-73.900734
