Rank,Course_Name,Yards,Par,Points,Location,Architect,Year_Built,Restoration_Architect,Year_Restored
46,BALLYNEAL G.C.,7147,71,62.6718,Holyoke Colo.,Tom Doak,2006,(Original Design),(Original Design)
47,BUTLER NATIONAL G.C.,7523,71,62.5935,Oak Brook Ill.,George Fazio & Tom Fazio,1974,Tom Fazio,2012
48,CASTLE PINES G.C.,7701,72,62.582,Castle Rock Colo.,Jack Nicklaus,1981,Jack Nicklaus & Jim Lipe,2015
49,TPC SAWGRASS (Players Stadium),7245,72,62.4413,Ponte Verde Beach Fla.,Pete Dye & Alice Dye,1980,Steve Wenzloff,2016
50,OLD MACDONALD,6944,71,62.4135,Bandon Ore.,Tom Doak & Jim Urbina,2010,(Original Design),(Original Design)
51,GARDEN CITY G.C.,6922,73,62.4125,Garden City N.Y.,Devereux Emmet,1899,Walter Travis & Tom Doak, 1913 & 2015
52,WINGED FOOT G.C. (East),6808,72,62.3774,Mamaroneck N.Y.,A.W. Tillinghast,1923,Gil Hanse,2012
53,MEDINAH C.C. (No. 3),7657,72,62.369,Medinah Ill.,Tom Bendelow,1928,Rees Jones,2009
54,WHISPERING PINES G.C.,7473,72,62.2766,Trinity Texas,Chet Williams,2000,(Original Design),(Original Design)
55,SHOREACRES,6729,70,62.2752,Lake Bluff Ill.,Seth Raynor,1921,(Original Design),(Original Design)
56,MONTEREY PENINSULA C.C. (Shore),6873,72,62.2081,Pebble Beach,Mike Strantz,2004,(Original Design),(Original Design)
57,SCIOTO C.C.,7140,70,62.1702,Columbus Ohio,Donald Ross,1916,Michael Hurdzan & Jack Nicklaus,2008
58,INTERLACHEN C.C.,6981,72,62.1545,Edina Minn.,Willie Watson,1911,Brian Silva,2006
59,OLD SANDWICH G.C.,6908,71,62.1544,Plymouth Mass.,Bill Coore & Ben Crenshaw,2005,(Original Design),(Original Design)
60,OAK TREE NATIONAL,7410,71,62.1249,Edmond Okla.,Pete Dye & Alice Dye,1976,Tripp Davis,2012
61,BALTUSROL G.C. (Upper),7348,72,62.0814,Springfield N.J.,A.W. Tillinghast,1922,Rees Jones,2014
62,CANYATA G.C.,7266,72,62.0771,Marshall Ill.,Bob Lohmann & Mike Benkusky,2004,(Original Design),(Original Design)
63,SOMERSET HILLS C.C.,6784,71,62.0366,Bernardsville N.J.,A.W. Tillinghast,1918,Tom Doak,2018
64,PETE DYE G.C.,7308,72,62.022,Bridgeport W.Va.,Pete Dye,1994,(Original Design),(Original Design)
65,DALLAS NATIONAL G.C.,7372,72,61.9804,Dallas,Tom Fazio,2002,(Original Design),(Original Design)
66,KINLOCH G.C.,7203,72,61.974,Manakin-Sabot Va,Lester George & Vinny Giles,2001,(Original Design),(Original Design)
67,MAIDSTONE CLUB,6665,72,61.9365,East Hampton N.Y.,Willie Park Jr. & Jack Park,1924,Bill Coore & Ben Crenshaw,2013
68,ARCADIA BLUFFS G.C.,7300,72,61.9264,Arcadia Mich.,Rick Smith & Warren Henderson,2000,(Original Design),(Original Design)
69,BANDON TRAILS,6788,71,61.8574,Bandon Ore.,Bill Coore & Ben Crenshaw,2005,(Original Design),(Original Design)
70,THE ESTANCIA CLUB,7314,72,61.8021,Scottsdale,Tom Fazio,1995,(Original Design),(Original Design)
71,QUAKER RIDGE G.C.,7008,70,61.7439,Scarsdale N.Y.,A.W. Tillinghast,1918,Gil Hanse,2011
72,CHERRY HILLS C.C.,7348,72,61.708,Cherry Hills Village Colo.,William Flynn,1923,Tom Doak,2009
73,ESSEX COUNTY CLUB,6555,70,61.6472,Manchester Mass.,Donald Ross,1917,Tom Doak,2008
74,MILWAUKEE C.C.,7097,72,61.6431,River Hills Wis.,H.S. Colt & C.H. Alison,1929,Tom Doak,2015
75,OLYMPIA FIELDS C.C. (North),7190,70,61.6376,Olympia Fields Ill.,Willie Park Jr.,1922,Mark Mungeam,2014
76,MYOPIA HUNT CLUB,6539,72,61.5754,South Hamilton Mass.,H.C. Leeds,1898,Gil Hanse,2013
77,THE QUARRY AT LA QUINTA,7083,72,61.5487,La Quinta Calif.,Tom Fazio,1994,(Original Design),(Original Design)
78,KITTANSETT CLUB,6811,71,61.5483,Marion Mass.,William Flynn & Frederic Hood,1922,Gil Hanse,2012
79,MONTEREY PENINSULA C.C. (Dunes),7090,72,61.5296,Pebble Beach Cal.,Seth Raynor,1924,Tom Fazio &Tim Jackson & David Kahn,2015
80,CONGRESSIONAL C.C. (Blue),7570,72,61.5115,Bethesda Md.,Robert Trent Jones,1962,Rees Jones,2010
81,HUDSON NATIONAL G.C.,7151,70,61.4845,Croton-on-Hudson N.Y.,Tom Fazio,1996,Tom Fazio,2015
82,PLAINFIELD C.C.,7091,72,61.4727,Edison N.J.,Donald Ross,1921,Gil Hanse,2010
83,CALUSA PINES G.C.,7203,72,61.4559,Naples Fla.,Michael Hurdzan & Dana Fry,2001,(Original Design),(Original Design)
84,VALHALLA G.C.,7540,72,61.3786,Louisville,Jack Nicklaus,1987,Jack Nicklaus,2012
85,ARONIMINK G.C.,7267,70,61.3607,Newtown Square Pa.,Donald Ross,1928,Gil Hanse,2017
86,THE VALLEY CLUB OF MONTECITO,6610,72,61.3551,Montecito Calif.,Alister MacKenzie & Robert Hunter,1929,Tom Doak,2018
87,BOSTON G.C.,7062,71,61.3515,Hingham Mass.,Gil Hanse,2004,(Original Design),(Original Design)
88,INVERNESS CLUB,7323,71,61.3320,Toledo Ohio,Donald Ross,1919,Andrew Green,2018
89,SLEEPY HOLLOW C.C,6902,70,61.3308,C.B. Macdonald,A.W. Tillinghast,1915,Gil Hanse,2017
90,DIAMOND CREEK G.C.,7175,70,61.2075,Banner Elk N.C.,Tom Fazio,2003,(Original Design),(Original Design)
91,THE G.C. AT BLACK ROCK,7130,72,61.202,Coeur d’Alene Idaho,Jim Engh,2003,(Original Design),(Original Design)
92,DOUBLE EAGLE CLUB,7175,72,61.195,Galena Ohio,Jay Morrish & Tom Weiskopf,1992,(Original Design),(Original Design)
93,SPRING HILL G.C.,7035,72,61.1569,Wayzata Minn.,Tom Fazio,1999,(Original Design),(Original Design)
94,RICH HARVEST LINKS,7704,72,61.1128,Sugar Grove Ill.,Jerry Rich & Greg Martin,1999,Jerry Rich, 2012
95,YEAMANS HALL CLUB,6808,70,61.089,Charleston S.C.,Seth Raynor & Charles Banks,1926,Jim Urbina, 2016
96,THE PRESERVE G.C.,7138,72,61.0619,Carmel Calif.,Tom Fazio  & J. Michael Poellot & Sandy Tatum,2000,Tom Fazio,2015
97,BLACKWOLF RUN (River),7404,72,61.0451,Kohler Wis.,Pete Dye,1990,Pete Dye,2010
98,OLD TOWN CLUB,7038,70,61.0033,Winston-Salem N.C.,Perry Maxwell,1939,Bill Coore & Ben Crenshaw,2013
99,CROOKED STICK G.C.,7516,72,60.9908,Carmel Ind.,Pete Dye,1967,Pete Dye,2008
100,MAYACAMA G.C.,6761,71,60.9746,Santa Rosa Calif.,Jack Nicklaus,2001,(Original Design),(Original Design)
