Rank,Course Name,Shot Value,Resistance to Scoring,Design Variety,Memorability,Aesthatics,Conditioning,Ambiance,Total Score
1,Pine Valley G.C.,8.9455,8.8846,9.1374,9.2412,8.9232,8.7142,9.2161,63.0622
2,Augusta National G.C.,8.6669,8.6552,8.7299,9.2928,9.1985,7.8753,9.3956,61.8142
3,Cypress Point Club,8.4596,7.9309,8.8514,9.2336,9.2675,8.3119,9.1685,61.2234
4,Sinnecock Hills G.C.,8.6307,8.6292,8.5485,8.7349,8.6532,8.4752,8.9503,60.622
5,Oakmont Hills C.C.,8.6228,8.843,8.5014,8.6369,8.2043,8.6954,8.7951,60.2989
6,Merion G.C. (East),8.4923,9.3917,8.5751,8.6326,8.2828,8.1134,8.9057,60.3936
7,Pebble Beach G. Links,8.255,8.1058,8.419,9.0282,8.9959,7.7933,8.674,59.2712
8,National G. Links of America,8.3341,7.7958,8.6242,8.6682,8.5592,8.2593,8.8105,59.0513
9,Sand Hills G.C.,8.2561,7.9465,8.3239,8.5129,8.3782,8.2297,8.4516,58.0989
10,Fishers Island Club,8.0976,7.6691,8.4048,8.7703,8.8154,7.6802,8.6589,58.0963
11,Winged Foot G.C. (West),8.2819,8.5496,8.0631,8.119,7.9866,8.2547,8.6516,57.9065
12,Seminole G.C.,8.1067,8.099,8.1609,8.3307,8.2093,8.2085,8.7111,57.8262
13,Crystal Downs C.C.,8.1353,8.1086,8.3439,8.3641,8.1528,8.1204,8.2773,57.5024
14,Chicago G.C.,8.1367,7.8489,8.208,8.253,7.9862,8.3442,8.6522,57.4292
15,Friar's Head G.C.,8.0453,7.9825,8.2087,8.2936,8.2923,8.1266,8.2147,57.1637
16,Murfield Village G.C.,8.1359,8.1373,8.0663,8.1775,8.0181,8.2668,8.2453,57.0472
17,Pacific Dunes,7.986,7.866,8.1567,8.3533,8.5042,7.7024,8.423,56.9916
18,The Country Club (Clyde/Squirrel),8.0536,8.0293,8.099,8.1728,7.7649,7.9156,8.6473,56.6825
19,Los Angeles C.C. (North),8.0591,8.0753,8.1846,8.1312,7.9574,8.0719,8.2274,56.7069
20,Oakland Hills C.C. (South),8.0822,8.2784,7.9886,8.0373,7.8376,8.162,8.2853,56.6714
