Rank,Course Name,Shot Value,Resistance to Scoring,Design Variety,Memorability,Aesthatics,Conditioning,Ambiance,Total Score
1,Pine Valley G.C.,8.9455,8.8846,9.1374,9.2412,8.9232,8.7142,9.2161,72.0078
2,Augusta National G.C.,8.6669,8.6552,8.7299,9.2928,9.1985,7.8753,9.3956,71.581
3,Cypress Point Club,8.4596,7.9309,8.8514,9.2336,9.2675,8.3119,9.1685,69.683
4,Sinnecock Hills G.C.,8.6307,8.6292,8.5485,8.7349,8.6532,8.4752,8.9503,69.2526
5,Oakmont Hills C.C.,8.6228,8.843,8.5014,8.6369,8.2043,8.6954,8.7951,68.9218
6,Merion G.C. (East),8.4923,9.3917,8.5751,8.6326,8.2828,8.1134,8.9057,67.886
7,Pebble Beach G. Links,8.255,8.1058,8.419,9.0282,8.9959,7.7933,8.674,67.5261
8,National G. Links of America,8.3341,7.7958,8.6242,8.6682,8.5592,8.2593,8.8105,67.3855
9,Sand Hills G.C.,8.2561,7.9465,8.3239,8.5129,8.3782,8.2297,8.4516,66.3549
10,Fishers Island Club,8.0976,7.6691,8.4048,8.7703,8.8154,7.6802,8.6589,66.1937
11,Winged Foot G.C. (West),8.2819,8.5496,8.0631,8.119,7.9866,8.2547,8.6516,66.1885
12,Seminole G.C.,8.1067,8.099,8.1609,8.3307,8.2093,8.2085,8.7111,65.9329
13,Crystal Downs C.C.,8.1353,8.1086,8.3439,8.3641,8.1528,8.1204,8.2773,65.6377
14,Chicago G.C.,8.1367,7.8489,8.208,8.253,7.9862,8.3442,8.6522,65.5659
15,Friar's Head G.C.,8.0453,7.9825,8.2087,8.2936,8.2923,8.1266,8.2147,65.2092
16,Murfield Village G.C.,8.1359,8.1373,8.0663,8.1775,8.0181,8.2668,8.2453,65.203
17,Pacific Dunes,7.986,7.866,8.1567,8.3533,8.5042,7.7024,8.423,64.9775
18,The Country Club (Clyde/Squirrel),8.0536,8.0293,8.099,8.1728,7.7649,7.9156,8.6473,64.9361
19,Los Angeles C.C. (North),8.0591,8.0753,8.1846,8.1312,7.9574,8.0719,8.2274,64.7659
20,Oakland Hills C.C. (South),8.0822,8.2784,7.9886,8.0373,7.8376,8.162,8.2853,64.7535
21,Whistling Straights (Straights),7.9975,8.1715,7.9896,8.2551,8.3165,7.7547,8.1641,64.6465
22,Oak Hill C.C. (East),8.0748,8.3162,7.968,7.9766,7.8589,8.0925,8.28,64.6417
23,Riviera C.C.,8.092,8.0448,8.1513,8.18,7.8265,7.9497,8.2515,64.5878
24,Kiawah Island (Ocean Course),8.0254,8.3331,7.8802,8.1804,8.2482,7.7446,8.0976,64.5348
25,Wade Hampton G.C.,7.949,7.7954,8.062,8.1365,8.3484,8.0359,8.1885,64.4646
26,Shadow Creek,7.8322,7.6807,8.0366,8.1198,8.3122,8.2186,8.2022,64.2344
27,Prairie Dunes C.C.,9.0732,8.0042,8.0683,8.1499,7.9056,7.7959,8.0057,64.0759
28,The Honors Course,7.9359,8.0299,7.9378,7.8731,7.9596,8.0148,8.2606,63.9746
29,Pinehurst No. 2,8.0362,8.1207,7.7787,7.9322,7.7732,7.8676,8.2824,63.8172
30,Peachtree G.C.,7.8812,7.8531,7.7793,7.9371,7.9086,8.2311,8.2678,63.7396
31,The Alotain Club,7.7526,7.6759,7.6588,8.0296,8.3406,8.2353,8.2855,63.731
32,Gozzer Ranch Gold & Lake Club,7.8176,7.728,8.0173,8.1054,8.272,8.9635,7.9852,63.7068
33,The Olympic Club (Lake),7.9885,8.2149,7.769,7.9319,7.8664,7.801,8.1176,63.6777
34,Southern Hills C.C.,8.008,8.0386,7.7849,7.8559,7.7321,7.9195,8.056,63.4031
35,San Francisco G.C.,7.8172,7.5575,7.9078,8.0366,7.956,7.8956,8.3863,63.3742
36,Bandon Dunes,7.7362,7.6076,7.9051,8.1601,8.3446,7.5747,8.3009,63.3655
37,Bethpage Black,8.0622,8.4987,8.0152,8.0807,7.5426,7.4477,7.5885,63.2976
